WAV Files

Path	Format Tag	Num Channels	Channel Mask	Sample Rate	Avg Bytes Per Sec	Block Align	Bit Depth	Num Samples

\SFX\building_uselbuil.wav	0xFFFE	1	0x00000004	22050	44100	2	16	44380
\SFX\buliding_uplace.wav	0xFFFE	1	0x00000004	22050	44100	2	16	31359
\SFX\buliding_uplace_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	31359
\SFX\ChronoAttack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	141323
\SFX\ChronoAttackShort.wav	0xFFFE	1	0x00000004	22050	88200	4	32	70691
\SFX\ChronoMove.wav	0xFFFE	1	0x00000004	22050	44100	2	16	24304
\SFX\ChronosphereHumEnd.wav	0xFFFE	1	0x00000004	22050	44100	2	16	33594
\SFX\ChronosphereHumLoopA.wav	0xFFFE	1	0x00000004	22050	44100	2	16	36612
\SFX\ChronosphereHumLoopB.wav	0xFFFE	1	0x00000004	22050	44100	2	16	23391
\SFX\ChronosphereHumLoopC.wav	0xFFFE	1	0x00000004	22050	44100	2	16	34578
\SFX\ChronosphereHumStart.wav	0xFFFE	1	0x00000004	22050	44100	2	16	28476
\SFX\ChronosphereMove.wav	0xFFFE	1	0x00000004	22050	44100	2	16	60420
\SFX\ChronosphereOpen.wav	0xFFFE	1	0x00000004	22050	44100	2	16	108515
\SFX\ChronosphereSelectEnd.wav	0xFFFE	1	0x00000004	22050	44100	2	16	16377
\SFX\ChronosphereSelectLoopA.wav	0xFFFE	1	0x00000004	22050	44100	2	16	21803
\SFX\ChronosphereSelectLoopB.wav	0xFFFE	1	0x00000004	22050	44100	2	16	21972
\SFX\ChronosphereSelectLoopC.wav	0xFFFE	1	0x00000004	22050	44100	2	16	13768
\SFX\ChronosphereSelectStart.wav	0xFFFE	1	0x00000004	22050	44100	2	16	35243
\SFX\ChronoVanish.wav	0xFFFE	1	0x00000004	22050	44100	2	16	49009
\SFX\chrono_legionnaire_beam-001.wav	0xFFFE	1	0x00000004	96000	288000	3	24	176316
\SFX\chrono_legionnaire_beam-002.wav	0xFFFE	1	0x00000004	96000	288000	3	24	161755
\SFX\chrono_legionnaire_beam-003.wav	0xFFFE	1	0x00000004	96000	288000	3	24	164370
\SFX\chrono_legionnaire_beam-004.wav	0xFFFE	1	0x00000004	96000	288000	3	24	213061
\SFX\chrono_legionnaire_chronosphere_alt_end-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	151395
\SFX\chrono_legionnaire_chronosphere_alt_end-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	151395
\SFX\chrono_legionnaire_chronosphere_alt_end-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	151395
\SFX\chrono_legionnaire_chronosphere_alt_loop-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	587132
\SFX\chrono_legionnaire_chronosphere_alt_loop-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	537240
\SFX\chrono_legionnaire_chronosphere_alt_loop-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	585868
\SFX\chrono_legionnaire_chronosphere_alt_loop-004.wav	0xFFFE	2	0x00000003	96000	576000	6	24	586474
\SFX\chrono_legionnaire_chronosphere_alt_loop-005.wav	0xFFFE	2	0x00000003	96000	576000	6	24	483724
\SFX\chrono_legionnaire_chronosphere_alt_loop-006.wav	0xFFFE	2	0x00000003	96000	576000	6	24	537240
\SFX\chrono_legionnaire_chronosphere_alt_loop-007.wav	0xFFFE	2	0x00000003	96000	576000	6	24	585868
\SFX\chrono_legionnaire_chronosphere_alt_loop-008.wav	0xFFFE	2	0x00000003	96000	576000	6	24	562448
\SFX\chrono_legionnaire_chronosphere_alt_loop-009.wav	0xFFFE	2	0x00000003	96000	576000	6	24	586474
\SFX\chrono_legionnaire_chronosphere_alt_loop-010.wav	0xFFFE	2	0x00000003	96000	576000	6	24	483724
\SFX\chrono_legionnaire_chronosphere_alt_loop-011.wav	0xFFFE	2	0x00000003	96000	576000	6	24	575796
\SFX\chrono_legionnaire_chronosphere_alt_loop-012.wav	0xFFFE	2	0x00000003	96000	576000	6	24	537240
\SFX\chrono_legionnaire_chronosphere_alt_loop-013.wav	0xFFFE	2	0x00000003	96000	576000	6	24	585868
\SFX\chrono_legionnaire_chronosphere_alt_loop-014.wav	0xFFFE	2	0x00000003	96000	576000	6	24	586474
\SFX\chrono_legionnaire_chronosphere_alt_loop-015.wav	0xFFFE	2	0x00000003	96000	576000	6	24	483724
\SFX\chrono_legionnaire_chronosphere_alt_loop_1-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	483724
\SFX\chrono_legionnaire_chronosphere_alt_loop_1-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	483724
\SFX\chrono_legionnaire_chronosphere_alt_loop_1-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	483724
\SFX\chrono_legionnaire_chronosphere_alt_loop_2-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	585868
\SFX\chrono_legionnaire_chronosphere_alt_loop_2-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	585868
\SFX\chrono_legionnaire_chronosphere_alt_loop_2-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	585868
\SFX\chrono_legionnaire_chronosphere_alt_loop_3-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	537240
\SFX\chrono_legionnaire_chronosphere_alt_loop_3-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	537240
\SFX\chrono_legionnaire_chronosphere_alt_loop_3-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	537240
\SFX\chrono_legionnaire_chronosphere_alt_loop_4-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	587132
\SFX\chrono_legionnaire_chronosphere_alt_loop_4-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	562448
\SFX\chrono_legionnaire_chronosphere_alt_loop_4-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	575796
\SFX\chrono_legionnaire_chronosphere_alt_loop_5-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	586474
\SFX\chrono_legionnaire_chronosphere_alt_loop_5-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	586474
\SFX\chrono_legionnaire_chronosphere_alt_loop_5-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	586474
\SFX\chrono_legionnaire_chronosphere_alt_start-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	220857
\SFX\chrono_legionnaire_chronosphere_alt_start-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	220857
\SFX\chrono_legionnaire_chronosphere_alt_start-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	220857
\SFX\chrono_legionnaire_chronosphere_loop.wav	0xFFFE	2	0x00000003	96000	576000	6	24	555264
\SFX\chrono_legionnaire_chronosphere_start.wav	0xFFFE	2	0x00000003	96000	576000	6	24	345984
\SFX\chrono_legionnaire_chronosphere_stop.wav	0xFFFE	2	0x00000003	96000	576000	6	24	288768
